,CM Artist ID,CM Track ID,Title,Artist,Release Dates
0,5596,28474688,No Time To Die,Billie Eilish,['2020-02-13T00:00:00.000Z']
1,5596,22352931,bury a friend,Billie Eilish,"['2019-01-30T00:00:00.000Z', '2019-03-29T00:00:00.000Z', '2019-05-17T00:00:00.000Z', '2019-11-15T00:00:00.000Z']"
2,5596,22669299,bad guy,Billie Eilish,"['2019-03-29T00:00:00.000Z', '2019-07-05T00:00:00.000Z', '2019-07-19T00:00:00.000Z', '2019-07-26T00:00:00.000Z', '2019-06-14T00:00:00.000Z', '2019-08-02T00:00:00.000Z', '2019-06-14T00:00:00.000Z', '2019-10-24T00:00:00.000Z', '2019-09-27T00:00:00.000Z', '2019-06-14T00:00:00.000Z', '2019-07-19T00:00:00.000Z', '2019-10-25T00:00:00.000Z', '2019-11-22T00:00:00.000Z', '2019-12-20T00:00:00.000Z', '2019-12-06T00:00:00.000Z', '2019-10-25T00:00:00.000Z']"
3,5596,27921112,listen before i go (live),Billie Eilish,
4,5596,27910562,come out and play (live),Billie Eilish,
5,5596,27203921,everything i wanted,Billie Eilish,"['2019-11-13T00:00:00.000Z', '2020-02-14T00:00:00.000Z']"
6,5596,21809966,when the party's over,Billie Eilish,"['2018-10-17T00:00:00.000Z', '2019-03-15T00:00:00.000Z', '2019-03-29T00:00:00.000Z', '2019-05-31T00:00:00.000Z', '2019-05-24T00:00:00.000Z']"
7,5596,18893028,bitches broken hearts,Billie Eilish,"['2018-03-30T00:00:00.000Z', '2017-08-11T00:00:00.000Z']"
8,5596,18714816,MyBoi - TroyBoi Remix,Billie Eilish,"['2018-03-09T00:00:00.000Z', '2018-03-09T00:00:00.000Z']"
9,5596,16898983,bellyache (Live),Billie Eilish,
10,5596,22672477,i love you,Billie Eilish,"['2019-03-29T00:00:00.000Z', '2019-10-18T00:00:00.000Z']"
11,5596,22669542,ilomilo,Billie Eilish,['2019-03-29T00:00:00.000Z']
12,5596,22674319,!!!!!!!,Billie Eilish,['2019-03-29T00:00:00.000Z']
13,5596,14348072,Ocean Eyes (Cautious Clay Remix) [feat. Cautious Clay],Billie Eilish,"['2016-01-08T00:00:00.000Z', '2017-01-17T00:00:00.000Z']"
14,5596,15939584,Ocean Eyes - Cautious Clay Remix,Billie Eilish,['2016-12-08T00:00:00.000Z']
15,5596,15941078,idontwannabeyouanymore,Billie Eilish,"['2017-07-28T00:00:00.000Z', '2017-08-11T00:00:00.000Z', '2017-07-21T00:00:00.000Z', '2017-12-22T00:00:00.000Z', '2017-12-22T00:00:00.000Z', '2017-08-11T00:00:00.000Z']"
16,5596,22673747,8,Billie Eilish,['2019-03-29T00:00:00.000Z']
17,5596,22674275,goodbye,Billie Eilish,['2019-03-29T00:00:00.000Z']
18,5596,16843101,Jukebox Daddy,Billie Eilish,
19,5596,14507000,Ocean Eyes,Billie Eilish,"['2017-08-11T00:00:00.000Z', '2016-01-08T00:00:00.000Z', '2016-05-13T00:00:00.000Z', '2017-12-22T00:00:00.000Z', '2018-10-12T00:00:00.000Z', '2017-11-03T00:00:00.000Z', '2016-11-18T00:00:00.000Z', '2017-12-22T00:00:00.000Z', '2017-08-11T00:00:00.000Z', '2019-06-21T00:00:00.000Z']"
20,5596,14349415,Ocean Eyes (Goldhouse Remix),Billie Eilish,"['2016-01-22T00:00:00.000Z', '2017-01-17T00:00:00.000Z']"
21,5596,15939901,Six Feet Under - Jerry Folk Remix,Billie Eilish,"['2017-02-03T00:00:00.000Z', '2017-08-18T00:00:00.000Z']"
22,5596,15941114,party favor,Billie Eilish,"['2017-08-11T00:00:00.000Z', '2017-12-22T00:00:00.000Z', '2017-12-22T00:00:00.000Z']"
23,5596,20222513,you should see me in a crown,Billie Eilish,"['2018-08-03T00:00:00.000Z', '2018-07-18T00:00:00.000Z', '2018-10-12T00:00:00.000Z', '2019-03-29T00:00:00.000Z']"
24,5596,21993076,come out and play,Billie Eilish,"['2018-11-20T00:00:00.000Z', '2019-04-26T00:00:00.000Z']"
25,5596,15941115,hostage,Billie Eilish,"['2017-08-11T00:00:00.000Z', '2017-12-22T00:00:00.000Z', '2017-12-22T00:00:00.000Z']"
26,5596,15939582,Ocean Eyes - Astronomyy Remix,Billie Eilish,['2016-12-08T00:00:00.000Z']
27,5596,22250623,"WHEN I WAS OLDER (Music Inspired by the Film ""ROMA"")",Billie Eilish,"['2019-01-09T00:00:00.000Z', '2019-02-08T00:00:00.000Z', '2019-04-26T00:00:00.000Z']"
28,5596,22670099,my strange addiction,Billie Eilish,['2019-03-29T00:00:00.000Z']
29,5596,15940357,Bored,Billie Eilish,"['2017-04-14T00:00:00.000Z', '2017-03-30T00:00:00.000Z']"
30,5596,15940970,watch,Billie Eilish,"['2017-07-28T00:00:00.000Z', '2017-08-11T00:00:00.000Z', '2017-06-30T00:00:00.000Z', '2017-07-21T00:00:00.000Z', '2017-07-14T00:00:00.000Z', '2017-12-22T00:00:00.000Z', '2018-01-19T00:00:00.000Z', '2018-01-19T00:00:00.000Z', '2017-08-04T00:00:00.000Z', '2017-12-22T00:00:00.000Z', '2017-08-11T00:00:00.000Z']"
31,5596,15939512,Bellyache,Billie Eilish,"['2017-08-11T00:00:00.000Z', '2017-12-22T00:00:00.000Z', '2017-02-24T00:00:00.000Z', '2018-04-20T00:00:00.000Z', '2017-12-22T00:00:00.000Z']"
32,5596,15940667,Ocean Eyes,Billie Eilish,['2017-05-17T00:00:00.000Z']
33,5596,15941076,my boy,Billie Eilish,"['2017-07-28T00:00:00.000Z', '2017-08-11T00:00:00.000Z', '2017-12-22T00:00:00.000Z', '2017-09-22T00:00:00.000Z', '2017-12-22T00:00:00.000Z', '2017-08-11T00:00:00.000Z']"
34,5596,15940579,Bellyache - Marian Hill Remix,Billie Eilish,['2017-05-05T00:00:00.000Z']
35,5596,22518355,wish you were gay,Billie Eilish,"['2019-03-04T00:00:00.000Z', '2019-03-29T00:00:00.000Z']"
36,5596,16827865,watch (Live),Billie Eilish,
37,5596,14373696,Six Feet Under,Billie Eilish,"['2016-06-24T00:00:00.000Z', '2017-09-01T00:00:00.000Z', '2016-11-17T00:00:00.000Z', '2019-06-21T00:00:00.000Z']"
38,5596,15939898,Six Feet Under - BLU J Remix,Billie Eilish,['2017-02-03T00:00:00.000Z']
39,5596,22672933,xanny,Billie Eilish,['2019-03-29T00:00:00.000Z']
40,5596,15941053,COPYCAT,Billie Eilish,"['2017-07-28T00:00:00.000Z', '2017-08-11T00:00:00.000Z', '2017-07-21T00:00:00.000Z', '2017-07-14T00:00:00.000Z', '2017-12-22T00:00:00.000Z', '2017-12-22T00:00:00.000Z', '2017-08-11T00:00:00.000Z']"
